Date,StringencyIndex_WeightedAverage,week
2020-03-01,14.682857142857143,0
2020-03-08,19.44,1
2020-03-15,44.18142857142857,2
2020-03-22,67.99142857142857,3
2020-03-29,82.41,4
2020-04-05,82.41,5
2020-04-12,82.41,6
2020-04-19,82.41,7
2020-04-26,82.41,8
2020-05-03,82.41,9
2020-05-10,82.41,10
2020-05-17,80.82000000000001,11
2020-05-24,78.7,12
2020-05-31,77.11428571428573,13
2020-06-07,75.0,14
2020-06-14,73.15,15
2020-06-21,71.76,16
2020-06-28,73.21428571428571,17
2020-07-05,73.61,18
2020-07-12,75.0,19
2020-07-19,75.0,20
2020-07-26,72.22,21
2020-08-02,72.22,22
2020-08-09,72.22,23
2020-08-16,72.22,24
2020-08-23,72.22,25
2020-08-30,75.39714285714285,26
2020-09-06,72.48428571428572,27
2020-09-13,72.22,28
2020-09-20,72.22,29
2020-09-27,72.22,30
2020-10-04,72.22,31
2020-10-11,72.48857142857142,32
2020-10-18,72.69,33
2020-10-25,72.69,34
2020-11-01,72.69,35
2020-11-08,72.69,36
2020-11-15,73.28142857142856,37
2020-11-22,73.28142857142858,38
2020-11-29,72.69,39
2020-12-06,72.69,40
2020-12-13,72.69,41
2020-12-20,72.69,42
2020-12-27,72.69,43
2021-01-03,72.69,44
2021-01-10,69.51,45
2021-01-17,68.98,46
2021-01-24,68.98,47
2021-01-31,68.98,48
2021-02-07,68.98,49
2021-02-14,68.98,50
